n1,n2,Re,Im
1.0,1.0,0.1317517046862674,0.0
1.0,2.0,0.1346522468082665,0.0
1.0,3.0,-0.05317945530743776,0.0
1.0,4.0,-0.04915743442199565,0.0
1.0,5.0,-0.008083300471513578,0.0
1.0,6.0,0.001101438555077213,0.0
1.0,7.0,0.02454245592905792,0.0
1.0,8.0,0.006680108159675721,0.0
1.0,9.0,0.0006246819004855414,0.0
1.0,10.0,-0.009610061561959957,0.0
1.0,11.0,-0.00945556423211577,0.0
1.0,12.0,0.0004823064160676923,0.0
1.0,13.0,0.002842928917668025,0.0
1.0,14.0,0.008444035823761608,0.0
1.0,15.0,0.001250875626310448,0.0
1.0,16.0,-0.001620876933435283,0.0
1.0,17.0,-0.004959897936490607,0.0
1.0,18.0,-0.003783970458845611,0.0
1.0,19.0,0.001647295713415206,0.0
1.0,20.0,0.002376498344539674,0.0
1.0,21.0,0.004438060771387583,0.0
1.0,22.0,-0.0003595691978817755,0.0
1.0,23.0,-0.00188264832228187,0.0
1.0,24.0,-0.00315990178444839,0.0
1.0,25.0,-0.001673045759826891,0.0
1.0,26.0,0.0020207451261021,0.0
1.0,27.0,0.00187759386914921,0.0
1.0,28.0,0.002658822088385277,0.0
1.0,29.0,-0.001153204438170664,0.0
1.0,30.0,-0.001797982222583976,0.0
1.0,31.0,-0.002132585904431515,0.0
1.0,32.0,-0.0005478485422222749,0.0
1.0,33.0,0.002202348423874144,0.0
1.0,34.0,0.001351034077022686,0.0
1.0,35.0,0.001639940355554581,0.0
1.0,36.0,-0.001728010946676347,0.0
1.0,37.0,-0.001481437986477279,0.0
1.0,38.0,-0.001362858488807799,0.0
1.0,39.0,0.0002633354152447862,0.0
1.0,40.0,0.002384679697681684,0.0
2.0,2.0,0.2613830295168405,0.0
2.0,3.0,0.1113523829318711,0.0
2.0,4.0,-0.02330430798174495,0.0
2.0,5.0,-0.01188809343300973,0.0
2.0,6.0,-0.007716902826953756,0.0
2.0,7.0,0.001208563837463108,0.0
2.0,8.0,0.00470623148682898,0.0
2.0,9.0,0.001977657120366851,0.0
2.0,10.0,0.0006455712838945768,0.0
2.0,11.0,-0.002326361233726553,0.0
2.0,12.0,-0.001037946522013587,0.0
2.0,13.0,-0.000493461142473389,0.0
2.0,14.0,0.0009856307476615819,0.0
2.0,15.0,0.0009527017300046585,0.0
2.0,16.0,0.0001892848502439414,0.0
2.0,17.0,-0.0003014310801060057,0.0
2.0,18.0,-0.0008489015044781878,0.0
2.0,19.0,-0.000124087105111622,0.0
2.0,20.0,9.404341757200152e-05,0.0
2.0,21.0,0.0005933904619638966,0.0
2.0,22.0,0.0002487594341261499,0.0
2.0,23.0,-0.0001133796290132486,0.0
2.0,24.0,-0.0003192009682405741,0.0
2.0,25.0,-0.0003716780337836369,0.0
2.0,26.0,0.0001213474166401032,0.0
2.0,27.0,0.0001767405924177063,0.0
2.0,28.0,0.0003615200817523456,0.0
2.0,29.0,-1.60959659073186e-05,0.0
2.0,30.0,-0.0001809036469909694,0.0
2.0,31.0,-0.0002435834906339675,0.0
2.0,32.0,-0.0001368990477038688,0.0
2.0,33.0,0.0002150506626646183,0.0
2.0,34.0,0.0001499681465425807,0.0
2.0,35.0,0.0002092055110753058,0.0
2.0,36.0,-0.0001583987793664222,0.0
2.0,37.0,-0.000164285426925707,0.0
2.0,38.0,-0.0001541971411265251,0.0
2.0,39.0,1.50781402428024e-05,0.0
2.0,40.0,0.0002599633595013382,0.0
3.0,3.0,0.3125496618839591,0.0
3.0,4.0,0.131290805060808,0.0
3.0,5.0,-0.02123661016546573,0.0
3.0,6.0,-0.01340745515736458,0.0
3.0,7.0,-0.01835893608450894,0.0
3.0,8.0,-0.002820834366620046,0.0
3.0,9.0,0.005198691807362253,0.0
3.0,10.0,0.006253097362860654,0.0
3.0,11.0,0.005732676458140222,0.0
3.0,12.0,-0.002403692824967361,0.0
3.0,13.0,-0.002630803273894249,0.0
3.0,14.0,-0.00472659301401806,0.0
3.0,15.0,-0.0001671241722145281,0.0
3.0,16.0,0.001929342721999585,0.0
3.0,17.0,0.002737559640634663,0.0
3.0,18.0,0.001995950899102169,0.0
3.0,19.0,-0.001530360414127176,0.0
3.0,20.0,-0.001519967807028823,0.0
3.0,21.0,-0.002358101452494288,0.0
3.0,22.0,0.000436099018702435,0.0
3.0,23.0,0.001351636081255005,0.0
3.0,24.0,0.001679274942398515,0.0
3.0,25.0,0.0008417616485098914,0.0
3.0,26.0,-0.001349854148799878,0.0
3.0,27.0,-0.001074366164521564,0.0
3.0,28.0,-0.001406054580813921,0.0
3.0,29.0,0.0007454032537007648,0.0
3.0,30.0,0.001096801006344549,0.0
3.0,31.0,0.001134979014203201,0.0
3.0,32.0,0.000262704789220728,0.0
3.0,33.0,-0.0013082234792942,0.0
3.0,34.0,-0.0007482764259539617,0.0
3.0,35.0,-0.0008864855785910519,0.0
3.0,36.0,0.001000751099315534,0.0
3.0,37.0,0.0008499511331934758,0.0
3.0,38.0,0.0007479090144825429,0.0
3.0,39.0,-0.0001552056312261941,0.0
3.0,40.0,-0.001354058380278205,0.0
4.0,4.0,0.1916393016788245,0.0
4.0,5.0,0.09546533668166954,0.0
4.0,6.0,-0.01225695680789399,0.0
4.0,7.0,-0.02629653302953877,0.0
4.0,8.0,-0.007499827781158175,0.0
4.0,9.0,-0.001777096115747624,0.0
4.0,10.0,0.00888150925038675,0.0
4.0,11.0,0.006691899190082835,0.0
4.0,12.0,0.0004187725363280182,0.0
4.0,13.0,-0.002306512554309006,0.0
4.0,14.0,-0.005871920132089429,0.0
4.0,15.0,-0.0009130517464030654,0.0
4.0,16.0,0.0008985509543292138,0.0
4.0,17.0,0.00348271376224356,0.0
4.0,18.0,0.002394363357020296,0.0
4.0,19.0,-0.0009158169438284725,0.0
4.0,20.0,-0.001593215726516446,0.0
4.0,21.0,-0.002871194129167995,0.0
4.0,22.0,0.0002216903449398861,0.0
4.0,23.0,0.001138404602764235,0.0
4.0,24.0,0.002072602072968575,0.0
4.0,25.0,0.001031620791827011,0.0
4.0,26.0,-0.001226026185858484,0.0
4.0,27.0,-0.001202275136211411,0.0
4.0,28.0,-0.001683063329331759,0.0
4.0,29.0,0.0007237859943560587,0.0
4.0,30.0,0.001105586462822073,0.0
4.0,31.0,0.00136241635597211,0.0
4.0,32.0,0.0003329156524915746,0.0
4.0,33.0,-0.001360897208094638,0.0
4.0,34.0,-0.0008517322412319777,0.0
4.0,35.0,-0.001029034296863848,0.0
4.0,36.0,0.001080106156172807,0.0
4.0,37.0,0.0009191606634678764,0.0
4.0,38.0,0.0008576315793046629,0.0
4.0,39.0,-0.000166813478867492,0.0
4.0,40.0,-0.001485515849726145,0.0
5.0,5.0,0.2460211612086926,0.0
5.0,6.0,0.1137390389509834,0.0
5.0,7.0,-0.03976775402847342,0.0
5.0,8.0,-0.02112439960447672,0.0
5.0,9.0,-0.008829490523639091,0.0
5.0,10.0,0.004609728799310333,0.0
5.0,11.0,0.01228722721640432,0.0
5.0,12.0,0.002557062736986904,0.0
5.0,13.0,1.73282633377387e-05,0.0
5.0,14.0,-0.007304999622918136,0.0
5.0,15.0,-0.00287177013077772,0.0
5.0,16.0,0.0001452583844353643,0.0
5.0,17.0,0.003347813188205797,0.0
5.0,18.0,0.003894061888209875,0.0
5.0,19.0,-0.000453990356838453,0.0
5.0,20.0,-0.00136628865931012,0.0
5.0,21.0,-0.003602969577277669,0.0
5.0,22.0,-0.0003987830527691648,0.0
5.0,23.0,0.001116117037299853,0.0
5.0,24.0,0.002302721488563422,0.0
5.0,25.0,0.0016572192084348,0.0
5.0,26.0,-0.001217071432438214,0.0
5.0,27.0,-0.001308032542807175,0.0
5.0,28.0,-0.002116620129595614,0.0
5.0,29.0,0.0005842496710171618,0.0
5.0,30.0,0.001254639799108725,0.0
5.0,31.0,0.001591191760223415,0.0
5.0,32.0,0.0005727708414354821,0.0
5.0,33.0,-0.001528325375098803,0.0
5.0,34.0,-0.0009893517390346075,0.0
5.0,35.0,-0.00126310068446461,0.0
5.0,36.0,0.001182368441929524,0.0
5.0,37.0,0.001075746884832254,0.0
5.0,38.0,0.001004641337136742,0.0
5.0,39.0,-0.0001602692116936199,0.0
5.0,40.0,-0.001725120229808594,0.0
6.0,6.0,0.2600792450121767,0.0
6.0,7.0,0.1372763407633552,0.0
6.0,8.0,-0.01690511597170136,0.0
6.0,9.0,-0.01776229809114802,0.0
6.0,10.0,-0.01550129072082558,0.0
6.0,11.0,-0.006572918201236612,0.0
6.0,12.0,0.007071120825341914,0.0
6.0,13.0,0.005226066823001173,0.0
6.0,14.0,0.006653031546705605,0.0
6.0,15.0,-0.001618261732319616,0.0
6.0,16.0,-0.003359900956093461,0.0
6.0,17.0,-0.003953809036826368,0.0
6.0,18.0,-0.001768510024578597,0.0
6.0,19.0,0.002621976876111531,0.0
6.0,20.0,0.002184351282559752,0.0
6.0,21.0,0.002741029976206899,0.0
6.0,22.0,-0.001090259363892841,0.0
6.0,23.0,-0.001866180147920416,0.0
6.0,24.0,-0.002080853460228216,0.0
6.0,25.0,-0.0006959793927646789,0.0
6.0,26.0,0.001854672210870635,0.0
6.0,27.0,0.001351410632835958,0.0
6.0,28.0,0.001573889484189864,0.0
6.0,29.0,-0.001104667379438086,0.0
6.0,30.0,-0.001368179012793849,0.0
6.0,31.0,-0.001341860596951263,0.0
6.0,32.0,-0.00018240346553141,0.0
6.0,33.0,0.001634780071001781,0.0
6.0,34.0,0.0008962675112677509,0.0
6.0,35.0,0.001013107037231141,0.0
6.0,36.0,-0.001261873868085358,0.0
6.0,37.0,-0.001023759412152897,0.0
6.0,38.0,-0.0008890364628269784,0.0
6.0,39.0,0.000210756899614746,0.0
6.0,40.0,0.001635066262157107,0.0
7.0,7.0,0.2558573837206555,0.0
7.0,8.0,0.09996421659854553,0.0
7.0,9.0,-0.01752097855853333,0.0
7.0,10.0,-0.01748806673097243,0.0
7.0,11.0,-0.01155414046312455,0.0
7.0,12.0,0.0008070773345086993,0.0
7.0,13.0,0.005317888033486239,0.0
7.0,14.0,0.006396636604166373,0.0
7.0,15.0,0.001223939749306228,0.0
7.0,16.0,-0.0023486359750368,0.0
7.0,17.0,-0.003555131063832189,0.0
7.0,18.0,-0.002455117486088872,0.0
7.0,19.0,0.001389548978578406,0.0
7.0,20.0,0.001881248721094329,0.0
7.0,21.0,0.002604926910149569,0.0
7.0,22.0,-0.0002847180901106773,0.0
7.0,23.0,-0.00143020245159481,0.0
7.0,24.0,-0.001838618335291105,0.0
7.0,25.0,-0.0009269744960193015,0.0
7.0,26.0,0.001321531693191205,0.0
7.0,27.0,0.00115000815127585,0.0
7.0,28.0,0.001459298019092283,0.0
7.0,29.0,-0.0007104111667913388,0.0
7.0,30.0,-0.001108465558581456,0.0
7.0,31.0,-0.001169005146243985,0.0
7.0,32.0,-0.0002826119821612589,0.0
7.0,33.0,0.001295086084061603,0.0
7.0,34.0,0.0007602988375852546,0.0
7.0,35.0,0.0008964598929785379,0.0
7.0,36.0,-0.0009888526994500432,0.0
7.0,37.0,-0.000846919797770893,0.0
7.0,38.0,-0.0007507901239077145,0.0
7.0,39.0,0.0001515700985737622,0.0
7.0,40.0,0.001346866949677042,0.0
8.0,8.0,0.220734179399759,0.0
8.0,9.0,0.1148659592036089,0.0
8.0,10.0,-0.02988627266300654,0.0
8.0,11.0,-0.02588008269353268,0.0
8.0,12.0,-0.008319945262769366,0.0
8.0,13.0,0.0004188519885555963,0.0
8.0,14.0,0.01341095325980783,0.0
8.0,15.0,0.004140783767855188,0.0
8.0,16.0,0.0007653425626417654,0.0
8.0,17.0,-0.005956364085873665,0.0
8.0,18.0,-0.00527776198048823,0.0
8.0,19.0,0.0002414816786958517,0.0
8.0,20.0,0.002046118458926413,0.0
8.0,21.0,0.005134460747426825,0.0
8.0,22.0,0.0004268779759086291,0.0
8.0,23.0,-0.001257315220708062,0.0
8.0,24.0,-0.003349905817411132,0.0
8.0,25.0,-0.002063798358154139,0.0
8.0,26.0,0.001460750692811914,0.0
8.0,27.0,0.001775365482408366,0.0
8.0,28.0,0.002812498896800695,0.0
8.0,29.0,-0.0007963651333263287,0.0
8.0,30.0,-0.001543653932684271,0.0
8.0,31.0,-0.002162138139593942,0.0
8.0,32.0,-0.0006886418988633458,0.0
8.0,33.0,0.001919394882723843,0.0
8.0,34.0,0.001300707158279216,0.0
8.0,35.0,0.001640944516855692,0.0
8.0,36.0,-0.001533652703934599,0.0
8.0,37.0,-0.001361747354698401,0.0
8.0,38.0,-0.001318016179533857,0.0
8.0,39.0,0.0002182126843502787,0.0
8.0,40.0,0.002208580217112378,0.0
9.0,9.0,0.2418591849862461,0.0
9.0,10.0,0.1194634935111349,0.0
9.0,11.0,-0.02022568915362353,0.0
9.0,12.0,-0.01854341083155782,0.0
9.0,13.0,-0.01087914711285934,0.0
9.0,14.0,-0.002776283517888136,0.0
9.0,15.0,0.007022208262910208,0.0
9.0,16.0,0.004147874478639331,0.0
9.0,17.0,0.003074086727673747,0.0
9.0,18.0,-0.00194040752091955,0.0
9.0,19.0,-0.002919202032188751,0.0
9.0,20.0,-0.001758749375271125,0.0
9.0,21.0,-0.000367874646746687,0.0
9.0,22.0,0.001964607918052044,0.0
9.0,23.0,0.00122026345042625,0.0
9.0,24.0,0.0008247451125828919,0.0
9.0,25.0,-0.0007315280960789517,0.0
9.0,26.0,-0.001192270629884199,0.0
9.0,27.0,-0.0006058147020319879,0.0
9.0,28.0,-0.0001630480555974429,0.0
9.0,29.0,0.0009361504418558215,0.0
9.0,30.0,0.0005607239047030155,0.0
9.0,31.0,0.0003837194046836108,0.0
9.0,32.0,-0.0003228712893720207,0.0
9.0,33.0,-0.0006901386794993148,0.0
9.0,34.0,-0.0002861882733576017,0.0
9.0,35.0,-0.0001854059836785914,0.0
9.0,36.0,0.0005757397547844611,0.0
9.0,37.0,0.0003348929335959108,0.0
9.0,38.0,0.0002669559937396025,0.0
9.0,39.0,-0.0001380426386666404,0.0
9.0,40.0,-0.0005522189616852388,0.0
10.0,10.0,0.2756239228159811,0.0
10.0,11.0,0.1223299614756887,0.0
10.0,12.0,-0.0245649908069826,0.0
10.0,13.0,-0.01749317203699541,0.0
10.0,14.0,-0.01598693952242552,0.0
10.0,15.0,-0.0007729212481403111,0.0
10.0,16.0,0.007636762223853352,0.0
10.0,17.0,0.006387160843204859,0.0
10.0,18.0,0.004400973088497491,0.0
10.0,19.0,-0.003987135192940562,0.0
10.0,20.0,-0.003489806035209349,0.0
10.0,21.0,-0.004219820197747765,0.0
10.0,22.0,0.0009610533210465883,0.0
10.0,23.0,0.002915278662761415,0.0
10.0,24.0,0.002787841264025808,0.0
10.0,25.0,0.001353274280976316,0.0
10.0,26.0,-0.002530557132531379,0.0
10.0,27.0,-0.001847373147761874,0.0
10.0,28.0,-0.002166254622342267,0.0
10.0,29.0,0.001284399351597916,0.0
10.0,30.0,0.00190438604051659,0.0
10.0,31.0,0.001711600967909097,0.0
10.0,32.0,0.000379088614065238,0.0
10.0,33.0,-0.002151762268382005,0.0
10.0,34.0,-0.001163988775831526,0.0
10.0,35.0,-0.001337686603691493,0.0
10.0,36.0,0.001585854863161585,0.0
10.0,37.0,0.001351535197862462,0.0
10.0,38.0,0.001133438931652172,0.0
10.0,39.0,-0.0002447590048355422,0.0
10.0,40.0,-0.002119046063892166,0.0
11.0,11.0,0.2234077322594802,0.0
11.0,12.0,0.1070991627784645,0.0
11.0,13.0,-0.01754411413444068,0.0
11.0,14.0,-0.02305915083254957,0.0
11.0,15.0,-0.008569964905285228,0.0
11.0,16.0,-0.001266175399963888,0.0
11.0,17.0,0.008777449910032396,0.0
11.0,18.0,0.005583621139219177,0.0
11.0,19.0,0.0006637239402038726,0.0
11.0,20.0,-0.002783775077376485,0.0
11.0,21.0,-0.005069302637586366,0.0
11.0,22.0,-0.0006308119122848484,0.0
11.0,23.0,0.001110557993969009,0.0
11.0,24.0,0.003343595915743006,0.0
11.0,25.0,0.001798548568112817,0.0
11.0,26.0,-0.001105040534514922,0.0
11.0,27.0,-0.001692209009545919,0.0
11.0,28.0,-0.002457531511235934,0.0
11.0,29.0,0.0006396222787986044,0.0
11.0,30.0,0.001271588514639918,0.0
11.0,31.0,0.001913688404324663,0.0
11.0,32.0,0.0005589670324864682,0.0
11.0,33.0,-0.00154476567285075,0.0
11.0,34.0,-0.001114545993890567,0.0
11.0,35.0,-0.001373866945034417,0.0
11.0,36.0,0.001260629178190358,0.0
11.0,37.0,0.001107920671920908,0.0
11.0,38.0,0.001106411168228112,0.0
11.0,39.0,-0.0001840166267694642,0.0
11.0,40.0,-0.001806036587760232,0.0
12.0,12.0,0.2385085267661697,0.0
12.0,13.0,0.1112644546970013,0.0
12.0,14.0,-0.02862391176413709,0.0
12.0,15.0,-0.01995827755177554,0.0
12.0,16.0,-0.00903158664176765,0.0
12.0,17.0,0.001365255408469967,0.0
12.0,18.0,0.009346569931151955,0.0
12.0,19.0,0.00324003601853779,0.0
12.0,20.0,0.00085503118721138,0.0
12.0,21.0,-0.004598359570238207,0.0
12.0,22.0,-0.002700128737357933,0.0
12.0,23.0,-0.0003682165911208637,0.0
12.0,24.0,0.001830828376590591,0.0
12.0,25.0,0.002701214131763504,0.0
12.0,26.0,4.687400685819186e-05,0.0
12.0,27.0,-0.0007035708320816084,0.0
12.0,28.0,-0.002154407917825634,0.0
12.0,29.0,-0.0003914425348756871,0.0
12.0,30.0,0.0006390986731126331,0.0
12.0,31.0,0.001282898473593565,0.0
12.0,32.0,0.000935920279818817,0.0
12.0,33.0,-0.0007959662805955475,0.0
12.0,34.0,-0.0007089974107921372,0.0
12.0,35.0,-0.001104110816036423,0.0
12.0,36.0,0.0005835633324226385,0.0
12.0,37.0,0.0007222046522563515,0.0
12.0,38.0,0.0007457196742242821,0.0
